Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std,Ratio,Random
knn,100.0,100.0,100.0,100.0,0.0,93.74641422834196,96.10295426048286,84.10986261225091,80.39315453272474,6.383691497383514,88.65384615384615,92.96840568363486,70.51154821886529,63.800264951019074,3.3958703626165474,4.0,1
svcrbf,100.0,100.0,100.0,100.0,0.0,94.58989898989898,96.81998300892732,81.84077332464429,79.41487103774048,10.323478746857244,94.72,96.8969462457458,82.29808756124547,80.11961068194054,2.883266303058439,5.0,1
svclin,99.84962406015038,99.90977443609022,99.54887218045111,99.46107299141887,0.4919707990811051,93.58989898989898,96.16587724850748,80.40208536982729,76.65521812863253,11.257236904457471,91.36,94.79902373070708,74.4480998298355,69.33415772826854,4.217396589092915,5.0,1
logistic,100.0,100.0,100.0,100.0,0.0,93.7939393939394,96.27987239144817,81.21534820824881,77.66915044036327,17.96897303730262,91.68,94.948476646885,76.41051567239636,71.50833559699706,3.5883586077926304,5.0,1
random,99.69937343358396,99.81918569947966,99.10885080225684,98.93591370201572,0.7384030245823038,93.7919191919192,96.3782198313842,78.25738916256158,75.92340264964754,12.109773538990044,93.6,96.21020371402766,79.41542411375531,76.08618567811045,3.557709360863888,5.0,1
knn,100.0,100.0,100.0,100.0,0.0,93.5919191919192,96.15964152806256,80.50574712643677,76.86602039667636,9.63127169490206,91.2,94.71264534025497,73.73969195863694,68.54359435090555,3.3953455197545,5.0,1
svcrbf,100.0,100.0,100.0,100.0,0.0,94.50338933097552,96.86747349504506,77.217620764781,76.12991269258823,6.71033874427418,95.34246575342463,97.29716056409282,83.17073170731707,80.56757001297794,2.395630392127757,6.0,1
svclin,99.69920162444043,99.82396178710091,98.96727111897393,98.80649170913804,1.4166258121899866,92.09106984969054,95.38305044631343,72.08728208728209,68.19654994612446,14.2531105217289,93.97260273972604,96.42530058630852,80.77755819060168,77.60132151138569,5.704811946764127,6.0,1
logistic,100.0,100.0,100.0,100.0,0.0,93.29501915708812,96.0847628920372,76.3567626067626,73.19955390933757,7.378497752724786,92.87671232876713,95.73563147177512,78.37784049790129,75.03948565130479,3.5596734531201,6.0,1
random,99.699293922193,99.82427807126815,98.95849148771842,98.78946242079148,0.7710276222474454,94.16003536693192,96.68587459672474,75.1877751877752,74.6108294297816,2.7983217665759392,95.8904109589041,97.6352511830092,84.303507615446,82.52803273725571,2.300677209285233,6.0,1
knn,100.0,100.0,100.0,100.0,0.0,93.81226053639844,96.41512863458568,77.25541125541125,74.14565473828314,5.300790448143516,94.1095890410959,96.54035496826012,80.19027484143763,76.79623793580308,3.005517967691856,6.0,1
svcrbf,99.9248120300752,99.9569891975826,99.70147591200222,99.65991359076664,0.465698194010695,95.33834586466163,97.36772505668254,79.4040569902639,77.80847263873306,6.949712460694295,96.40718562874252,97.97021511307226,84.36842105263159,82.85439589445292,0.1367694404357242,7.0,1
