,subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,rank,test_means,test_stds,train_means,train_stds
123,0.875,0.14384498882876628,0.0006158482110660267,600,4,0.4,0.875,59,0.7785729929081369,0.06597316115282817,1.0,0.0
124,0.625,2.9763514416313193,0.012742749857031334,500,3,0.9,0.75,120,0.7394524992100517,0.08541732792674997,1.0,0.0
125,0.5,0.07847599703514607,0.26366508987303583,800,5,0.6,0.875,147,0.7208443470581193,0.06184243636131529,1.0,0.0
126,1.0,0.07847599703514607,0.0003359818286283781,600,7,0.9,0.5,142,0.7227037103388724,0.1196750226309649,1.0,0.0
127,1.0,0.14384498882876628,0.07847599703514607,300,6,0.7000000000000001,0.625,53,0.7826913691335525,0.058756636008062524,1.0,0.0
128,1.0,0.4832930238571752,5.455594781168514,600,7,1.0,0.5,131,0.732786860760207,0.08580252331541531,0.9852774418338583,0.009504550789688
129,0.875,0.00379269019073225,0.0003359818286283781,400,7,0.1,0.5,1,0.8362099573769782,0.06589386278465835,1.0,0.0
130,0.875,0.00206913808111479,0.26366508987303583,200,7,1.0,0.625,136,0.7280105310114469,0.06511145554472803,1.0,0.0
131,0.875,0.07847599703514607,0.26366508987303583,100,6,0.8,0.875,176,0.6787917579109058,0.11545986906304634,1.0,0.0
132,0.5,10.0,0.26366508987303583,200,4,0.1,0.875,11,0.811704531189916,0.03258696573450266,0.9966909149974775,0.004052935453069011
133,1.0,0.04281332398719392,0.0069519279617756054,400,6,0.4,0.5,78,0.7655533183495414,0.07448032821510894,1.0,0.0
134,1.0,0.023357214690901212,0.04281332398719392,200,5,0.6,1.0,123,0.7381286344691984,0.05939913097765378,1.0,0.0
135,0.5,1.623776739188721,1.623776739188721,200,5,0.6,0.5,44,0.789556690893178,0.04615750327504144,0.9983562219316913,0.0032875561366177307
136,0.75,1.623776739188721,0.14384498882876628,200,3,1.0,0.5,128,0.7341833616652178,0.0380159018835818,1.0,0.0
137,0.5,0.023357214690901212,0.26366508987303583,800,5,0.2,0.5,2,0.8337935721149451,0.04694218077124957,1.0,0.0
138,0.5,0.8858667904100823,0.0069519279617756054,400,3,0.2,0.5,32,0.7972320533310592,0.057201477382415655,1.0,0.0
139,0.625,0.0003359818286283781,0.0006158482110660267,200,4,0.6,0.875,184,0.6628964205799589,0.07526484012747488,1.0,0.0
140,1.0,0.0001,0.0006158482110660267,400,6,0.1,1.0,95,0.7556481080122459,0.08176880211049595,1.0,0.0
141,0.625,0.8858667904100823,0.14384498882876628,400,4,0.7000000000000001,0.5,161,0.6945341993565115,0.0429470018609417,1.0,0.0
142,0.625,0.0006158482110660267,0.00379269019073225,200,3,0.7000000000000001,0.75,140,0.7236930311447248,0.06377743802282723,1.0,0.0
143,0.5,0.14384498882876628,0.012742749857031334,900,3,0.5,0.625,87,0.7583744889821167,0.07133008111132169,1.0,0.0
144,0.75,0.14384498882876628,0.00018329807108324357,900,7,0.9,0.625,190,0.6294796788679905,0.06431332768894883,1.0,0.0
145,0.625,0.00018329807108324357,5.455594781168514,900,7,0.2,0.5,31,0.7976790147258639,0.06254613531412198,0.995025325071792,0.004062005379372036
146,1.0,0.0001,5.455594781168514,800,6,0.30000000000000004,0.625,108,0.7498586739214727,0.06843566225384007,0.9966906320060055,0.004053278200705935
147,1.0,0.0001,0.0003359818286283781,200,3,0.9,0.75,154,0.702520739225877,0.10861076837246791,1.0,0.0
148,0.875,0.00379269019073225,0.26366508987303583,500,3,0.7000000000000001,0.625,130,0.7340414667082588,0.047983343249147575,1.0,0.0
149,0.5,2.9763514416313193,0.4832930238571752,400,7,0.2,0.5,21,0.8029147708516235,0.026276066037034692,1.0,0.0
150,0.875,0.0003359818286283781,0.0001,400,4,0.4,0.875,84,0.7593289784791837,0.058653150415791146,1.0,0.0
151,0.875,0.8858667904100823,2.9763514416313193,400,7,0.4,1.0,81,0.7622389453312588,0.10519814297548236,1.0,0.0
152,0.625,0.8858667904100823,2.9763514416313193,700,6,0.2,0.5,14,0.8105214516382219,0.07448288351594316,1.0,0.0
153,0.875,0.14384498882876628,0.14384498882876628,500,3,0.9,0.875,89,0.7575152188830799,0.07660084260224789,1.0,0.0
154,0.5,0.012742749857031334,0.4832930238571752,100,4,0.6,0.5,119,0.7405977867094948,0.06243477325523759,1.0,0.0
155,0.5,5.455594781168514,0.14384498882876628,700,4,0.7000000000000001,0.5,107,0.750333159385533,0.034002655194343784,1.0,0.0
156,1.0,0.14384498882876628,0.0069519279617756054,900,5,0.6,0.75,47,0.7869322248583288,0.04334425618454745,1.0,0.0
157,0.875,0.04281332398719392,0.26366508987303583,200,3,1.0,0.875,137,0.727776249400557,0.09437119599995265,1.0,0.0
158,0.5,0.0069519279617756054,0.0011288378916846883,400,3,0.6,0.5,192,0.6238215065128142,0.051394455934579454,1.0,0.0
159,0.5,0.04281332398719392,0.8858667904100823,100,6,0.8,0.5,194,0.6143683078899358,0.06904451533972249,1.0,0.0
